competition,season,game_code,round,date,home_team,home_code,away_team,away_code,score_home,score_away,venue,attendance,phase,ubt_is_home,ubt_score,opp_score,opponent,result,score_diff
EuroCup,2025,2,1,2025-10-01,U-BT CLUJ-NAPOCA,CLU,BAHCESEHIR COLLEGE ISTANBUL,BAH,90,98,BT ARENA,6881.0,REGULAR SEASON,True,90,98,BAHCESEHIR COLLEGE ISTANBUL,L,-8
EuroCup,2025,15,2,2025-10-07,NEPTUNAS KLAIPEDA,KLA,U-BT CLUJ-NAPOCA,CLU,102,107,SVYTURIO ARENA,2087.0,REGULAR SEASON,False,107,102,NEPTUNAS KLAIPEDA,W,5
EuroCup,2025,21,3,2025-10-15,SLASK WROCLAW,WRO,U-BT CLUJ-NAPOCA,CLU,94,93,HALA ORBITA,2417.0,REGULAR SEASON,False,93,94,SLASK WROCLAW,L,-1
EuroCup,2025,35,4,2025-10-22,U-BT CLUJ-NAPOCA,CLU,UMANA REYER VENICE,VNC,103,102,BT ARENA,7962.0,REGULAR SEASON,True,103,102,UMANA REYER VENICE,W,1
EuroCup,2025,42,5,2025-10-28,VEOLIA TOWERS HAMBURG,HAM,U-BT CLUJ-NAPOCA,CLU,76,95,INSELPARK ARENA,1940.0,REGULAR SEASON,False,95,76,VEOLIA TOWERS HAMBURG,W,19
EuroCup,2025,54,6,2025-11-05,U-BT CLUJ-NAPOCA,CLU,CEDEVITA OLIMPIJA LJUBLJANA,LJU,87,93,BT ARENA,6631.0,REGULAR SEASON,True,87,93,CEDEVITA OLIMPIJA LJUBLJANA,L,-6
EuroCup,2025,63,7,2025-11-12,U-BT CLUJ-NAPOCA,CLU,BAXI MANRESA,MAN,110,86,NOVA PG ARENA,2973.0,REGULAR SEASON,True,110,86,BAXI MANRESA,W,24
EuroCup,2025,73,8,2025-11-18,U-BT CLUJ-NAPOCA,CLU,HAPOEL MIDTOWN JERUSALEM,JER,89,101,BT ARENA,8327.0,REGULAR SEASON,True,89,101,HAPOEL MIDTOWN JERUSALEM,L,-12
EuroCup,2025,84,9,2025-12-04,ARIS THESSALONIKI BETSSON,ARI,U-BT CLUJ-NAPOCA,CLU,88,98,PALAIS DE SPORTS,3642.0,REGULAR SEASON,False,98,88,ARIS THESSALONIKI BETSSON,W,10
EuroCup,2025,92,10,2025-12-10,BAHCESEHIR COLLEGE ISTANBUL,BAH,U-BT CLUJ-NAPOCA,CLU,84,72,SINAN ERDEM SPORTS HALL,714.0,REGULAR SEASON,False,72,84,BAHCESEHIR COLLEGE ISTANBUL,L,-12
EuroCup,2025,105,11,2025-12-17,U-BT CLUJ-NAPOCA,CLU,NEPTUNAS KLAIPEDA,KLA,118,97,BT ARENA,4837.0,REGULAR SEASON,True,118,97,NEPTUNAS KLAIPEDA,W,21
EuroCup,2025,111,12,2025-12-30,U-BT CLUJ-NAPOCA,CLU,SLASK WROCLAW,WRO,94,92,BT ARENA,4168.0,REGULAR SEASON,True,94,92,SLASK WROCLAW,W,2
EuroCup,2025,125,13,2026-01-07,UMANA REYER VENICE,VNC,U-BT CLUJ-NAPOCA,CLU,90,83,PALASPORT TALIERCIO,1536.0,REGULAR SEASON,False,83,90,UMANA REYER VENICE,L,-7
EuroCup,2025,132,14,2026-01-13,U-BT CLUJ-NAPOCA,CLU,VEOLIA TOWERS HAMBURG,HAM,103,92,BT ARENA,3347.0,REGULAR SEASON,True,103,92,VEOLIA TOWERS HAMBURG,W,11
EuroCup,2025,144,15,2026-01-20,CEDEVITA OLIMPIJA LJUBLJANA,LJU,U-BT CLUJ-NAPOCA,CLU,86,80,HALA TIVOLI,2991.0,REGULAR SEASON,False,80,86,CEDEVITA OLIMPIJA LJUBLJANA,L,-6
EuroCup,2025,153,16,2026-01-28,BAXI MANRESA,MAN,U-BT CLUJ-NAPOCA,CLU,101,99,PAVELLO NOU CONGOST,3775.0,REGULAR SEASON,False,99,101,BAXI MANRESA,L,-2
EuroCup,2025,163,17,2026-02-04,HAPOEL MIDTOWN JERUSALEM,JER,U-BT CLUJ-NAPOCA,CLU,114,104,PAIS ARENA JERUSALEM,2764.0,REGULAR SEASON,False,104,114,HAPOEL MIDTOWN JERUSALEM,L,-10
EuroCup,2025,174,18,2026-02-11,U-BT CLUJ-NAPOCA,CLU,ARIS THESSALONIKI BETSSON,ARI,111,92,BT ARENA,10000.0,REGULAR SEASON,True,111,92,ARIS THESSALONIKI BETSSON,W,19
EuroCup,2025,183,19,2026-03-11,BUDUCNOST VOLI PODGORICA,BUD,U-BT CLUJ-NAPOCA,CLU,82,100,MORACA,3150.0,EIGHTHFINALS,False,100,82,BUDUCNOST VOLI PODGORICA,W,18
EuroCup,2025,188,20,2026-03-17,BAHCESEHIR COLLEGE ISTANBUL,BAH,U-BT CLUJ-NAPOCA,CLU,75,72,SINAN ERDEM SPORTS HALL,3248.0,QUARTERFINALS,False,72,75,BAHCESEHIR COLLEGE ISTANBUL,L,-3
ABA League,2025,14397509,2,2025-10-11 00:00:00,KK Krka Novo Mesto,kk-krka-novo-mesto,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,83,85,,,Regular Season,False,85,83,KK Krka Novo Mesto,W,2
ABA League,2025,14397526,3,2025-10-19 00:00:00,BC Dubai,bc-dubai,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,81,77,,,Regular Season,False,77,81,BC Dubai,L,-4
ABA League,2025,14397529,4,2025-10-25 00:00:00,KK Split,kk-split,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,87,80,,,Regular Season,False,80,87,KK Split,L,-7
ABA League,2025,14397496,5,2025-11-01 00:00:00,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,Igokea m:tel,kk-igokea-aleksandrovac-mtl,106,84,,,Regular Season,True,106,84,Igokea m:tel,W,22
ABA League,2025,14397502,18,2025-11-08 00:00:00,KK Borac Mozzart,kk-borac-mozzart,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,76,97,,,Regular Season,False,97,76,KK Borac Mozzart,W,21
ABA League,2025,14397505,7,2025-11-14 00:00:00,KK SC Derby,kk-sc-derby,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,82,95,,,Regular Season,False,95,82,KK SC Derby,W,13
ABA League,2025,15039407,8,2025-11-22 00:00:00,FMP Beograd,fmp-beograd,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,98,104,,,Regular Season,False,104,98,FMP Beograd,W,6
ABA League,2025,14397519,9,2025-12-07 00:00:00,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,KK Partizan Mozzart Bet,kk-partizan-mozzart-bet,85,92,,,Regular Season,True,85,92,KK Partizan Mozzart Bet,L,-7
ABA League,2025,14397524,10,2025-12-19 00:00:00,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,KK Krka Novo Mesto,kk-krka-novo-mesto,92,82,,,Regular Season,True,92,82,KK Krka Novo Mesto,W,10
ABA League,2025,14936498,11,2025-12-22 00:00:00,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,KK Split,kk-split,105,87,,,Regular Season,True,105,87,KK Split,W,18
ABA League,2025,14397578,12,2025-12-26 00:00:00,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,KK SC Derby,kk-sc-derby,96,85,,,Regular Season,True,96,85,KK SC Derby,W,11
ABA League,2025,15306734,13,2026-01-03 00:00:00,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,FMP Beograd,fmp-beograd,93,65,,,Regular Season,True,93,65,FMP Beograd,W,28
ABA League,2025,14397589,14,2026-01-10 00:00:00,Igokea m:tel,kk-igokea-aleksandrovac-mtl,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,114,108,,,Regular Season,False,108,114,Igokea m:tel,L,-6
ABA League,2025,14397598,15,2026-01-17 00:00:00,U-Banca Transilvania Cluj-Napoca,u-banca-transilvania-cluj-napoca,BC Dubai,bc-dubai,93,110,,,Regular Season,True,93,110,BC Dubai,L,-17
