competition,competition_key,season,game_code,round,phase,date,home_team,home_code,away_team,away_code,score_home,score_away,venue,attendance,ubt_is_home,ubt_score,opp_score,opponent,result,score_diff
ABA League,aba_league,2025,14397509,2,Regular Season,2025-10-11,KK Krka,kk-krka-novo-mesto,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,83,85,,,False,85,83,KK Krka,W,2
ABA League,aba_league,2025,14397526,3,Regular Season,2025-10-19,BC Dubai,bc-dubai,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,81,77,,,False,77,81,BC Dubai,L,-4
ABA League,aba_league,2025,14397529,4,Regular Season,2025-10-25,KK Split,kk-split,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,87,80,,,False,80,87,KK Split,L,-7
ABA League,aba_league,2025,14397496,5,Regular Season,2025-11-01,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,Igokea m:tel,kk-igokea-aleksandrovac-mtl,106,84,,,True,106,84,Igokea m:tel,W,22
ABA League,aba_league,2025,14397502,18,Regular Season,2025-11-08,KK Borac,kk-borac-mozzart,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,76,97,,,False,97,76,KK Borac,W,21
ABA League,aba_league,2025,14397505,7,Regular Season,2025-11-14,KK SC Derby,kk-sc-derby,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,82,95,,,False,95,82,KK SC Derby,W,13
ABA League,aba_league,2025,15039407,8,Regular Season,2025-11-22,FMP Beograd,fmp-beograd,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,98,104,,,False,104,98,FMP Beograd,W,6
ABA League,aba_league,2025,14397519,9,Regular Season,2025-12-07,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,KK Partizan,kk-partizan-mozzart-bet,85,92,,,True,85,92,KK Partizan,L,-7
ABA League,aba_league,2025,14397524,10,Regular Season,2025-12-19,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,KK Krka,kk-krka-novo-mesto,92,82,,,True,92,82,KK Krka,W,10
ABA League,aba_league,2025,14936498,11,Regular Season,2025-12-22,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,KK Split,kk-split,105,87,,,True,105,87,KK Split,W,18
ABA League,aba_league,2025,14397578,12,Regular Season,2025-12-26,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,KK SC Derby,kk-sc-derby,96,85,,,True,96,85,KK SC Derby,W,11
ABA League,aba_league,2025,15306734,13,Regular Season,2026-01-03,U-BT Cluj-Napoca,u-banca-transilvania-cluj-napoca,FMP Beograd,fmp-beograd,93,65,,,True,93,65,FMP Beograd,W,28
