competition,competition_key,season,player_id,player_name,team_code,games_played,minutes,points,rebounds,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,fg2_made,fg2_att,fg3_made,fg3_att,ft_made,ft_att,points_pg,rebounds_pg,assists_pg,steals_pg,blocks_pg,turnovers_pg,minutes_pg,fg2_pct,fg3_pct,ft_pct,pir,image_url,player_slug,position
ABA League,aba_league,2025,13927,Mitchell Creek,UBT,23,660.92,396,94,31,63,50,19,5,44,55,95,147,36,77,98,114,17.22,4.09,2.17,0.83,0.22,1.91,28.74,0.646,0.4675324675324675,0.86,356.0,https://media-cdn.cortextech.io/1ad95f51-74e6-49cc-a323-1bb3ff3e002d.png,creek-mitch,FG
ABA League,aba_league,2025,9896,Dusan Miletic,UBT,24,532.1800000000001,320,188,60,128,55,27,43,52,67,123,167,6,19,56,85,13.33,7.83,2.29,1.12,1.79,2.17,22.17,0.737,0.3157894736842105,0.659,428.0,https://media-cdn.cortextech.io/6e7b25a3-f096-4e25-8f5b-48f00b42c9f4.png,miletic-dusan,C
ABA League,aba_league,2025,13943,Daron Russell,UBT,20,565.81,320,57,10,47,125,23,6,54,58,50,106,56,131,52,72,16.0,2.85,6.25,1.15,0.3,2.7,28.29,0.472,0.4274809160305343,0.722,268.0,https://media-cdn.cortextech.io/16c13feb-6041-4ba1-8d77-bd4b2467ab9d.png,daron-russell,G
ABA League,aba_league,2025,13926,Iverson Molinar,UBT,20,511.89,261,41,9,32,69,11,1,50,42,82,158,16,50,49,58,13.05,2.05,3.45,0.55,0.05,2.5,25.59,0.519,0.32,0.845,172.0,https://media-cdn.cortextech.io/fc6290e3-0b14-41fe-b114-3860f50b7d90.png,molinar-iverson,G
ABA League,aba_league,2025,11797,Karel Guzman,UBT,17,382.94,186,78,17,61,39,24,3,27,39,39,63,27,69,27,38,10.94,4.59,2.29,1.41,0.18,1.59,22.53,0.619,0.391304347826087,0.711,187.0,https://media-cdn.cortextech.io/52a45fa4-2f33-452b-9908-826270198523.png,guzman-karel,F
ABA League,aba_league,2025,13251,Trey Woodbury,UBT,20,453.01,168,57,6,51,51,12,2,29,42,34,73,29,73,13,18,8.4,2.85,2.55,0.6,0.1,1.45,22.65,0.466,0.3972602739726027,0.722,131.0,https://media-cdn.cortextech.io/785c6591-a714-4675-b329-af0b841bb581.png,woodbury-trey,G
ABA League,aba_league,2025,14185,Nighael Ceaser,UBT,16,345.42,155,84,24,60,27,13,8,21,47,63,95,2,7,23,31,9.69,5.25,1.69,0.81,0.5,1.31,21.59,0.663,0.2857142857142857,0.742,174.0,https://media-cdn.cortextech.io/43cc3fcf-23ec-4fc4-b68f-54fecb3fbb0c.png,ceaser-nighael,C
ABA League,aba_league,2025,11801,Patrick Richard,UBT,19,354.98,105,46,6,40,41,7,1,19,33,12,16,24,76,9,10,5.53,2.42,2.16,0.37,0.05,1.0,18.68,0.75,0.3157894736842105,0.9,91.0,https://media-cdn.cortextech.io/17f0e0b8-e2d8-432b-8444-646a4425dc89.png,richard-patrick,G
ABA League,aba_league,2025,1694,Saulius Kulvietis,UBT,22,275.99,97,36,13,23,26,5,1,18,33,10,20,23,54,8,8,4.41,1.64,1.18,0.23,0.05,0.82,12.54,0.5,0.4259259259259259,1.0,73.0,https://media-cdn.cortextech.io/c3ed2acb-561b-43a9-81f3-4501588647bb.png,kulvietis-saulius,F
ABA League,aba_league,2025,6546,Jeffery Taylor,UBT,17,333.41,58,35,12,23,21,13,1,12,50,13,27,9,30,5,8,3.41,2.06,1.24,0.76,0.06,0.71,19.61,0.481,0.3,0.625,28.0,https://media-cdn.cortextech.io/900e0281-8293-403f-a89d-3c52b99e5df7.png,taylor-jeff,F
ABA League,aba_league,2025,2875,Ben Altit,UBT,22,170.55,41,27,13,14,6,3,2,10,31,17,23,1,6,4,7,1.86,1.23,0.27,0.14,0.09,0.45,7.75,0.739,0.1666666666666666,0.571,24.0,https://media-cdn.cortextech.io/497fe10e-13dc-4c64-a4b0-b5ea0fe81b76.png,ben-altit,C
ABA League,aba_league,2025,13514,Nathan Mensah,UBT,7,116.83,38,45,18,27,4,7,8,11,22,13,35,0,0,12,17,5.43,6.43,0.57,1.0,1.14,1.57,16.69,0.371,,0.706,42.0,https://media-cdn.cortextech.io/11a6db2e-4364-4e6f-82c8-8e1137f184a5.png,mensah-nathan,C
ABA League,aba_league,2025,13303,Darius Miron,UBT,12,125.36,27,13,5,8,2,5,0,9,13,2,5,7,28,2,2,2.25,1.08,0.17,0.42,0.0,0.75,10.45,0.4,0.25,1.0,1.0,https://media-cdn.cortextech.io/23010ca8-1016-4ca0-ba47-d60dc96ff74e.png,miron-darius,G
ABA League,aba_league,2025,12684,Alexis Petric,UBT,4,19.66,3,4,0,4,1,0,0,3,2,1,4,0,2,1,2,0.75,1.0,0.25,0.0,0.0,0.75,4.92,0.25,0.0,0.5,-3.0,https://media-cdn.cortextech.io/d123899b-6398-4043-ae91-362d0dc3cda8.png,petric-tudor-alexis,F
