competition,competition_key,season,game_code,round,date,opponent,result,team_code,player_id,player_name,jersey,is_starter,seconds_played,minutes_played,points,fg2_made,fg2_att,fg3_made,fg3_att,ft_made,ft_att,rebounds,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,pir
ABA League,aba_league,2025,14397509,2,2025-10-11,KK Krka Novo Mesto,W,UBT,2875,Ben Altit,8,False,325,5.42,2,1,1,0,0,0,0,1,1,0,1,0,0,1,2,6.0,1.0
ABA League,aba_league,2025,14397509,2,2025-10-11,KK Krka Novo Mesto,W,UBT,9896,Dušan Miletić,10,True,837,13.95,12,5,7,0,1,2,2,4,3,1,0,0,2,1,4,6.0,10.0
ABA League,aba_league,2025,14397509,2,2025-10-11,KK Krka Novo Mesto,W,UBT,11797,Karel Guzman,0,True,723,12.05,8,1,3,2,3,0,0,3,1,2,2,1,1,1,2,12.0,9.0
ABA League,aba_league,2025,14397509,2,2025-10-11,KK Krka Novo Mesto,W,UBT,11801,Patrick Richard,35,True,2172,36.2,12,3,3,2,6,0,0,4,0,4,5,0,0,0,2,16.0,15.0
ABA League,aba_league,2025,14397509,2,2025-10-11,KK Krka Novo Mesto,W,UBT,13251,Trey Woodbury,22,False,1522,25.37,5,1,4,1,3,0,1,3,0,3,0,0,0,0,3,-10.0,-1.0
ABA League,aba_league,2025,14397509,2,2025-10-11,KK Krka Novo Mesto,W,UBT,13514,Nathan Mensah,31,False,1991,33.18,9,3,9,0,0,3,4,12,5,7,1,3,1,3,2,-9.0,14.0
ABA League,aba_league,2025,14397509,2,2025-10-11,KK Krka Novo Mesto,W,UBT,13926,Iverson Molinar,1,False,1891,31.52,6,2,8,0,2,2,2,1,1,0,1,1,0,5,3,-11.0,-7.0
ABA League,aba_league,2025,14397509,2,2025-10-11,KK Krka Novo Mesto,W,UBT,13927,Mitch Creek,55,True,2142,35.7,19,5,11,2,2,3,4,6,1,5,4,1,0,1,3,6.0,19.0
ABA League,aba_league,2025,14397509,2,2025-10-11,KK Krka Novo Mesto,W,UBT,13943,Fatts Russell,11,True,1894,31.57,12,3,8,1,6,3,4,2,0,2,5,3,0,3,3,-6.0,5.0
ABA League,aba_league,2025,14397526,3,2025-10-19,BC Dubai,L,UBT,1694,Saulius Kulvietis,7,False,739,12.32,0,0,1,0,3,0,0,1,1,0,0,0,0,1,2,-18.0,-6.0
ABA League,aba_league,2025,14397526,3,2025-10-19,BC Dubai,L,UBT,2875,Ben Altit,8,False,192,3.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-8.0,-2.0
